id,letter,word,type,etymology,definition,added_at
A1709,A,ANDROGYNIE,nom féminin,Étymologie : xvie siècle. Dérivé d’androgyne.,Caractère d’une personne androgyne.,2026-06-04T04:02:03.970Z
A1949,A,ANTICOLONIALISME,nom masculin,Étymologie : xxe siècle. Composé d’anti‑ et de colonialisme.,"Attitude, doctrine de ceux qui s’opposent au colonialisme, aux politiques de colonisation.
L’anticolonialisme d’André Gide s’exprime particulièrement dans ses journaux de voyage au Congo et au Tchad.
L’anticolonialisme d’Aimé Césaire.",2026-06-04T04:02:08.824Z
A2028,A,ANTISÉMITE,adjectif,"Étymologie : xixe siècle. Composé d’anti‑ et de sémite, sous l’influence de l’allemand antisemitisch, de même sens.","Relatif à l’antisémitisme ; qui fait preuve d’antisémitisme, se réclame de l’antisémitisme.
Les lois antisémites du régime de Vichy.
Un acte, une insulte à caractère antisémite.
Un écrivain antisémite.
Subst.
Un, une antisémite.",2026-06-04T04:07:54.857Z
A2029,A,ANTISÉMITISME,nom masculin,"Étymologie : xixe siècle. Dérivé d’antisémite, sous l’influence de l’allemand Antisemitismus, de même sens, lui-même forgé, sur le modèle des mots savants, par le journaliste allemand Wilhelm Marr (1819-1904), qui souhaitait présenter la haine des Juifs comme scientifiquement fondée.","■ 
Hostilité systématique à l’égard des Juifs ou du judaïsme ; doctrine raciste qui se fonde sur cette hostilité.
L’affaire Dreyfus fut un révélateur de l’ampleur de l’antisémitisme en France.
L’antisémitisme était un des piliers du régime nazi.
La lutte contre l’antisémitisme.
▪ Par extension.
Attitude, comportement qui relève de cette hostilité, de cette doctrine.
Faire preuve d’antisémitisme.",2026-06-04T04:07:54.941Z
A2315,A,AQUAPLANAGE,nom masculin,"Étymologie : xxe siècle. Tiré de l’anglais aquaplaning, de même sens.","Dérapage d’un véhicule qui se produit sur une route mouillée en raison d’une perte d’adhérence des pneus.
Les pneus lisses favorisent l’aquaplanage.",2026-06-04T04:08:00.977Z
A2725,A,"ARYEN, ARYENNE",adjectif,"Étymologie : xixe siècle. Emprunté du latin arianus, « habitant de l’Arie », ancienne province d’Asie.","1. 
Relatif aux tribus établies en Iran au IIIe millénaire avant notre ère, qui firent la conquête du Nord de l’Inde.
Subst.
Un Aryen, une Aryenne.
▪ Par extension.
Se disait, dans des théories racistes développées dans la deuxième moitié du xixe siècle, des individus blancs et de type dit nordique, qui étaient présentés comme les descendants de ces tribus et considérés comme de race pure et supérieure.
Les nazis plaçaient la population aryenne au sommet de leur hiérarchie raciale.
Subst.
Un Aryen, une Aryenne.


2. 
Marque de domaine : linguistique. Vieilli.
Se disait d’un groupe de langues indo-européennes qui regroupe les familles iranienne et indo-aryenne (on dit plutôt Indo-iranien).
En composition.
Indo-aryen, voir ce mot.",2026-06-04T04:08:08.877Z
A2756,A,"ASEXUÉ, ASEXUÉE",adjectif,"Étymologie : xixe siècle, d’abord comme terme de botanique. Dérivé savant du latin sexus, « sexe », avec le préfixe privatif a‑ [ii].","1. 
Marque de domaine : biologie.
Par opposition à Sexué.
Dépourvu d’organe de reproduction mâle ou femelle.
Un être asexué.
Une plante asexuée.
▪ Par extension.
Se dit du mode de reproduction par lequel un organisme donne naissance, sans rencontre de gamètes, à un ou plusieurs descendants qui lui sont génétiquement identiques.
La multiplication asexuée ou, plus souvent, la reproduction asexuée des bactéries.
La reproduction asexuée de la vigne par bouturage ou par marcottage.
Ce parasite se reproduit par voie asexuée.
Par métonymie.
La phase de développement asexuée d’une hydre.
Spore asexuée, qui donne naissance à un individu asexué, par opposition à Spore mâle, femelle.


2. 
Qui ne présente aucune des caractéristiques propres à un sexe.
Une voix asexuée.",2026-06-04T04:08:09.703Z
A3407,A,"AVÉRÉ, AVÉRÉE",adjectif,Étymologie : xvie siècle. Tiré du participe passé d’avérer.,"Reconnu pour vrai, établi comme sûr et certain.
C’est un fait avéré.",2026-06-04T04:08:22.089Z
A3408,A,AVÉRER,verbe transitif direct et verbe pronominal,"Étymologie : xiie siècle, au sens de « réaliser (une prophétie, une volonté) ; approuver ». Emprunté du latin médiéval adverare, « faire valoir un document comme authentique », lui-même dérivé de verus, « vrai ».","1. 
Être reconnu pour vrai, se confirmer.
La nouvelle s’avéra bientôt.
Ses qualités se sont avérées.

2. 
Se révéler tel ou tel.
Il s’est avéré un excellent gestionnaire.
L’entreprise s’avéra vaine, difficile.
L’affaire s’est avérée relever d’une autre juridiction.
Impers.
Après quelques recherches, il s’avéra que la chose était impossible.
Il s’est avéré que vous aviez raison.
RemarqueComme Avérer est associé, du fait de son étymologie, à l’idée de vrai, on évitera des tournures comme Ses soupçons se sont avérés vrais, exacts, qui est une redondance, ou comme Cette nouvelle s’est avérée fausse, inexacte, qui est contradictoire.",2026-06-04T04:08:22.210Z
A3468,A,AVORTON,nom masculin,"Étymologie : xiiie siècle, d’abord au sens d’« individu né avant terme ». Dérivé d’avorter.","1. 
Vieilli.
Être vivant qui n’a pas atteint un développement complet.
Le dernier chiot de cette portée est un avorton.

2. 
Péj.
Être humain de petite taille, difforme, chétif.",2026-06-04T04:08:23.372Z
B0165,B,"BALADEUR, BALADEUSE",adjectif et nom masculin,"Étymologie : xve siècle, au sens d’« escroc » ; xixe siècle, au sens de « flâneur » ; xxe siècle, au sens II. Dérivé de balader.","1. 
Fam.
Qui aime se promener ; relatif à la promenade.
Des jeunes gens baladeurs.
Être d’humeur baladeuse, avoir envie de marcher.
▪ Expr. fig.
Avoir la main baladeuse ou les mains baladeuses, s’autoriser des caresses, des gestes inappropriés sur certaines parties du corps de quelqu’un.


2. 
Qu’on peut déplacer facilement.
Une lampe baladeuse ou, elliptiquement et substantivement, une baladeuse, une lampe sans fil, ou munie d’un long fil, qui peut être aisément changée de place.
Micro baladeur, qu’on passe d’une personne à l’autre au cours d’un débat, d’une discussion.",2026-06-04T04:10:34.286Z
B0236,B,BALLE,nom féminin,Étymologie : xviie siècle. Peut-être emploi spécialisé de balle [i].,"■ 
Fam.
Précédé d’un adjectif numéral cardinal et le plus souvent au pluriel.
A désigné le franc ; désigne l’euro, depuis sa mise en circulation en 2002.
Une pièce de dix balles.
Ça m’a coûté cent balles.
▪ Loc. adj. fig.
À deux balles, de peu de valeur ; superficiel, médiocre.
Un raisonnement à deux balles.
C’est de la psychologie à deux balles.
Une plaisanterie à deux balles.",2026-06-04T04:10:35.668Z
B0521,B,BASER,verbe transitif direct,"Étymologie : xvie siècle, d’abord basser, « fonder sur », en architecture. Dérivé de base.","1. 
Marque de domaine : militaire.
Installer des soldats dans une ou plusieurs bases.
Baser des troupes sur divers points du territoire.
La flotte basée dans le Pacifique.
Plusieurs unités ont été basées aux frontières.

2. 
Fig.
Fonder, établir, asseoir quelque chose.
Une théorie basée sur des observations précises.
Ce pays a basé sa prospérité sur l’industrie et l’agriculture.
▪ Pron.
S’appuyer sur tel ou tel élément pour démontrer quelque chose, justifier ses dires.
Se baser sur des statistiques.
Sur quoi se base-t-il pour affirmer de telles inepties ?

RemarqueCet emploi figuré, auparavant déconseillé, est aujourd’hui entré dans l’usage courant.",2026-06-04T04:10:41.245Z
B0784,B,BELGE,adjectif,"Étymologie : xvie siècle, comme substantif. Emprunté du latin Belga, qui désignait un habitant de la Gaule dite belgique, province romaine située entre l’Oise et l’Escaut, lui-même d’origine celtique.","■ 
Relatif à la Belgique, à ses habitants ; originaire de Belgique.
Une bière belge.
Le franc belge a été remplacé par l’euro.
Le malinois et le groenendael sont des variétés de berger belge.
▪ Spécialement.
Se dit d’une personne qui a la nationalité de ce pays.
Les écrivains belges d’expression française.
Subst. Avec une majuscule.
Un, une Belge.
Une visite du roi des Belges.
Les Belges wallons, les Belges flamands.",2026-06-04T04:10:46.359Z
B1107,B,BILAN,nom masculin,"Étymologie : xvie siècle. Emprunté de l’italien bilancio, « état des comptes », lui-même déverbal de bilanciare, « peser, mettre en équilibre ».","1. 
Marque de domaine : finance.
État des comptes indiquant, à un moment donné, la balance de l’actif et du passif d’une entreprise.
Arrêter, dresser un bilan, un bilan financier.
Le bilan accuse des pertes considérables.
Analyser les chiffres d’un bilan.
▪ Loc.
Déposer son bilan, le bilan, en parlant d’une entreprise, déclarer au greffe du tribunal de commerce qu’elle est en état de cessation de paiements.
Dépôt de bilan, le fait, pour une entreprise, de déclarer qu’elle est en cessation de paiements.
Consolidation d’un bilan, Bilan consolidé, voir Consolidation, Consolidé.


2. 
Résultat global d’une action, d’une opération, etc., effet qui en découle ; évaluation d’ensemble, analyse d’une situation.
Le bilan d’un règne, d’une législature, d’une guerre.
Le bilan de cet accident ferroviaire est très lourd.
Faire le bilan de son existence.
▪ Spécialement. Marque de domaine : physique. Marque de domaine : chimie.
Bilan thermique, dans lequel sont pris en compte les échanges de chaleur qui ont eu lieu entre un système et son environnement au cours d’une transformation, d’une réaction.
– Marque de domaine : médecine.
Bilan sanguin, sérologique, analyse des constituants du sang, du sérum d’un patient.
Bilan de santé, série d’examens et d’analyses destinée à faire le point sur l’état d’un sujet qui ne présente pas de manifestations apparentes de maladie Remarque : (on préfèrera ce mot à l’anglicisme Check-up).

– Marque de domaine : écologie.
Bilan d’émissions de gaz à effet de serre, estimation de la quantité de gaz à effet de serre émise par une personne, une entreprise, une activité pendant un temps donné (on préfèrera cette locution au nom déposé, imprécis, Bilan carbone).

– Marque de domaine : droit du travail.
Bilan de compétences, évaluation des capacités d’un salarié cherchant à se reconvertir, qui est fondée sur ses savoirs et ses expériences.
Bilan social, désigne, par métonymie, le document annuel qu’établit un employeur afin de présenter la situation sociale de son entreprise et dans lequel figurent notamment des données concernant les rémunérations, la formation, les conditions de travail des salariés.",2026-06-04T04:10:52.744Z
B1185,B,BIOTIQUE,adjectif,"Étymologie : xixe siècle. Emprunté du latin bioticus, « qui permet de vivre ».","1. 
Marque de domaine : biologie.
Qui permet la vie.
Un milieu biotique.

2. 
Marque de domaine : écologie.
Qui se rapporte aux êtres vivants.
Facteur biotique, relatif aux êtres vivants présents dans un milieu et à leurs relations interspécifiques ou intraspécifiques.
La compétition, la prédation, la coopération sont des facteurs biotiques.",2026-06-04T04:10:54.288Z
B1237,B,BISEXUALITÉ,nom féminin,"Étymologie : xixe siècle. Dérivé de sexualité, avec le préfixe bi‑.","1. 
Marque de domaine : biologie.
Le fait d’être bisexué.
La bisexualité s’observe chez de nombreux végétaux.
(On dit plus souvent Hermaphrodisme.)

2. 
Marque de domaine : psychanalyse.
Bisexualité psychique, dans la théorie freudienne, coexistence originelle dans le psychisme de dispositions masculines et féminines.

3. 
Sexualité des bisexuels ; fait d’être bisexuel.",2026-06-04T04:10:55.324Z
B1238,B,"BISEXUÉ, BISEXUÉE",adjectif,"Étymologie : xixe siècle. Composé à l’aide de bi‑ et de sexe, sur le modèle de bisexuel.","■ 
Marque de domaine : biologie.
Qui possède les organes de reproduction des deux sexes, simultanément ou consécutivement.
La plupart des gastéropodes sont bisexués.
▪ Spécialement. Marque de domaine : botanique.
Qui a les étamines et le pistil réunis dans la même fleur ou qui porte sur le même pied les fleurs mâles et les fleurs femelles.
La plupart des angiospermes sont bisexuées.
Par métonymie.
Une fleur bisexuée.

(On dit plus souvent Hermaphrodite.)",2026-06-04T04:10:55.402Z
B1239,B,"BISEXUEL, BISEXUELLE",adjectif,Étymologie : xixe siècle. Composé à l’aide de bi‑ et de sexe.,"1. 
Marque de domaine : biologie. Vieilli.
Bisexué.

2. 
Qui éprouve une attirance sexuelle pour des individus des deux sexes.
Subst.
Un bisexuel, une bisexuelle.
(On dit aussi, par abréviation et familièrement, Bi.)
▪ Par extension.
Relatif à la sexualité des personnes attirées par des individus du même sexe et des individus de sexe différent.
Des relations bisexuelles.",2026-06-04T04:10:55.472Z
B1461,B,"BOHÉMIEN, BOHÉMIENNE",nom et adjectif,"Étymologie : xve siècle, au sens 1 ; xviiie siècle, au sens 2. Dérivé de Bohême, parce que, pour le sens 1, on pensait que ces communautés nomades venaient de Bohême.","1. 
N.
Désignait naguère, parfois de manière péjorative, les membres de communautés nomades qu’on appelait aussi gitans, romanichels, manouches.
Des roulottes, un campement de bohémiens.
Une bohémienne diseuse de bonne aventure.
La figure de la bohémienne dans la littérature du xixe siècle.
▪ Par extension. Péj. et vieilli.
Vagabond.
Il mène une vie de bohémien.


2. 
Adj. Rare.
Relatif à la Bohême et à ses habitants.",2026-06-04T04:10:59.690Z
B2464,B,BURNOUS,nom masculin,"Étymologie : xvie siècle, barnusse ; rare avant le xixe siècle. Emprunté de l’arabe burnūs, « capuchon d’un vêtement », puis « vêtement à capuchon ».","■ 
Longue cape pourvue d’un capuchon et fermée à l’encolure, que l’on enfile par la tête.
Un burnous de laine.
Le burnous est traditionnellement porté en Afrique du Nord.
Le burnous rouge des spahis.
▪ Expr. fig., pop. et péj.
Faire suer le burnous, se disait des colons qui faisaient travailler durement la main-d’œuvre autochtone et, par extension, de personnes en exploitant d’autres.",2026-06-04T04:11:19.227Z
C1226,C,CÈDRE,nom masculin,"Étymologie : xiie siècle. Emprunté du latin cedrus, « cèdre ; bois de cèdre », lui-même emprunté du grec kedros, de même sens.","■ 
Conifère de la famille des Pinacées, dont la ramure se déploie horizontalement et dont les aiguilles sont disposées en bouquets et les cônes, dressés.
Le cèdre du Liban, de l’Atlas.
▪ Par métonymie.
Le bois de cet arbre, dur, odorant et qui s’altère peu.
Un coffret de cèdre.
De l’huile de cèdre.

▪ Expr. fig. tirée du premier livre des Rois, dans la Bible.
Depuis le cèdre jusqu’à l’hysope, du plus grand au plus petit.",2026-06-04T04:14:11.711Z
C1298,C,CENT,nom masculin,Étymologie : xixe siècle. Mot de l’anglais des États-Unis.,"La centième partie de l’unité monétaire de différents pays, notamment du dollar américain et du dollar canadien.
Une pièce de vingt-cinq cents.",2026-06-04T04:14:13.192Z
C1312,C,CENTIME,nom masculin,"Étymologie : xviiie siècle. Dérivé de cent [i], sur le modèle de décime.","1. 
La centième partie du franc qui était l’unité monétaire de la France avant l’adoption de l’euro.
Une pièce de cinq centimes.
Un franc et soixante centimes ou, elliptiquement, un franc soixante.

2. 
La centième partie du franc qui est l’unité monétaire de divers pays.
Dix centimes de franc suisse, de franc CFA.",2026-06-04T04:14:13.592Z
C2665,C,CLÔTURER,verbe transitif direct,Étymologie : xviiie siècle. Dérivé de clôture.,"1. 
Entourer un espace d’une clôture, l’enclore.
Clôturer une prairie.

2. 
Fig.
Arrêter, terminer une chose, la considérer comme achevée.
Clôturer un compte.
La séance vient d’être clôturée.
RemarqueClôturer étant au figuré un simple doublet de clore, on lui préfèrera clore ou des périphrases telles que mettre fin à, mettre un terme à.",2026-06-04T04:14:40.559Z
C2863,C,COINCER,verbe transitif direct et verbe intransitif,"Étymologie : xviiie siècle, coinser. Dérivé de coin.","1. 
Marque de domaine : technique.
Serrer, fixer quelque chose avec des coins (rare).
Par extension.
Coincer une pièce entre les mâchoires d’un étau.
▪ Par analogie.
Bloquer, empêcher de bouger.
Coincer une porte avec une cale.
Pron.
Le mécanisme s’est coincé, il ne fonctionne plus.
Se coincer le dos, les cervicales.
Au participe passé.
Le dossier était coincé au fond du tiroir.
Plusieurs victimes sont coincées sous les décombres.


2. 
Fam.
Retenir quelqu’un contre son gré, faire qu’il ne puisse pas partir, se dérober.
Il m’a coincé entre deux portes pour me raconter ses malheurs.
Les policiers ont fini par coincer le coupable, par le démasquer, l’arrêter.
Au participe passé.
Elle est coincée chez elle car elle attend une livraison.
▪ Fig.
Mettre une personne en difficulté, dans l’impossibilité d’agir ou de répondre.
L’examinateur a voulu le coincer avec une question piège.
Au participe passé.
Je suis coincé et ne sais comment me tirer d’affaire.",2026-06-04T04:14:44.666Z
C2990,C,COLON,nom masculin,"Étymologie : xive siècle. Emprunté du latin colonus, « cultivateur, métayer ; habitant d’une colonie », lui-même dérivé de colere, « habiter ; cultiver ».","1. 
Marque de domaine : Antiquité.
Personne qui quittait sa cité, son pays pour aller s’établir dans un territoire étranger et y constituer une nouvelle communauté, y fonder une nouvelle cité.
Marseille fut fondée par des colons grecs.
Les colons romains étaient, pour beaucoup, des vétérans que l’on avait récompensés en leur donnant des terres conquises par Rome.

2. 
Marque de domaine : histoire.
Européen qui s’est installé dans une colonie de son pays.
Les colons français d’Algérie.
Les colons néerlandais d’Afrique du Sud.
▪ En apposition.
Art colon, sculpture colon, caractéristiques de l’art africain de la seconde moitié du xxe siècle, et dont les œuvres représentent des colons, en particulier des fonctionnaires, souvent reconnaissables à leur tenue et à leur casque colonial.


3. 
S’emploie parfois pour désigner les Israéliens installés dans certains territoires qui ont été conquis par Israël en 1967, lors de la guerre des Six Jours.",2026-06-04T04:14:47.253Z
C2994,C,COLONAT,nom masculin,Étymologie : xixe siècle. Dérivé de colon [i].,"■ 
Marque de domaine : histoire.
À l’époque du Bas-Empire et du haut Moyen Âge, condition, état de colon.
▪ Par extension. Marque de domaine : droit.
Bail à colonat partiaire, en droit rural, contrat temporaire de location d’un domaine, dans lequel le preneur, appelé colon, s’engageait à partager les produits avec le bailleur.
La locution « bail à colonat partiaire » a été remplacée par celle de « bail à métayage ».",2026-06-04T04:14:47.389Z
C2997,C,"COLONIAL, COLONIALE",adjectif et nom masculin,Étymologie : xviiie siècle. Dérivé de colonie.,"1. 
Qui se rapporte à une ou plusieurs colonies, aux colonies et, spécialement, à celles que possédaient les puissances européennes entre le xve et le xxe siècle.
Les autorités coloniales.
L’empire colonial de l’Espagne, du Royaume-Uni, de la France.
L’époque, l’ère coloniale.
▪ Par extension.
Se disait de ce qui était propre aux colonies, de ce qui venait des colonies.
Les maladies coloniales.
Un magasin, un comptoir de denrées coloniales.
Les bois coloniaux.

▪ Loc.
Pacte colonial, voir Pacte.
Frontières coloniales, limites territoriales héritées du temps de la colonisation et qui, particulièrement en Afrique, furent maintenues comme frontières des nouveaux États indépendants.
L’École coloniale, institution chargée de former les cadres des colonies françaises jusqu’en 1959, et dont le nom officiel devint, en 1934, École nationale de la France d’outre-mer.
Troupes coloniales, nom que portèrent les troupes de marine entre 1900 et 1958.
Il a servi quinze ans dans les troupes coloniales ou, substantivement et familièrement, dans la coloniale.
Infanterie coloniale, artillerie coloniale, nom de l’infanterie et de l’artillerie de marine entre 1900 et 1958.
Exposition coloniale, manifestation organisée par les puissances coloniales, entre le milieu du xixe siècle et le milieu du xxe siècle, afin de promouvoir leur politique de colonisation, et au cours de laquelle des habitants des colonies étaient mis en scène dans leur vie quotidienne.
L’Exposition coloniale internationale de 1931, à Paris.
Casque colonial, coiffure faite de liège et de toile, que portaient les Européens dans les colonies pour se protéger du soleil.
Style colonial, style architectural typique des maisons construites par les colons.
Une villa de style colonial.
Foie colonial (vieilli), nom qui était donné à diverses affections digestives touchant les colons et qu’on pensait dues au climat et aux conditions de vie.
Fam.
Quart d’heure colonial, moment d’égarement, de folie.
Le quart d’heure colonial d’un chat.


2. 
Marque de domaine : biologie.
Qui vit en colonie.
Les morses sont des animaux coloniaux.",2026-06-04T04:14:47.524Z
C2998,C,COLONIALISME,nom masculin,Étymologie : xixe siècle. Dérivé de colonial.,"■ 
Politique d’un État qui consiste à conquérir des territoires extérieurs et à y installer ses ressortissants afin de contrôler militairement ces territoires, d’en exploiter les ressources et de les administrer ; doctrine qui inspire ou justifie cette politique.
Le colonialisme des pays européens, au xixe siècle.
Georges Clemenceau s’opposa aux tenants du colonialisme, en particulier à Jules Ferry.
▪ Par extension.
Ensemble des relations administratives, économiques et sociales établies entre un pays et ses colonies.",2026-06-04T04:14:47.587Z
C2999,C,COLONIALISTE,adjectif,Étymologie : xixe siècle. Dérivé de colonial.,"Relatif à la politique, à la doctrine du colonialisme ; qui est partisan du colonialisme.
Des écrits colonialistes.
Un parti colonialiste.
Subst.
Un, une colonialiste.
Les colonialistes justifiaient la colonisation en se réclamant d’une mission civilisatrice.",2026-06-04T04:14:47.646Z
C3000,C,COLONIE,nom féminin,"Étymologie : xive siècle. Emprunté du latin colonia, « ferme ; colonie », lui-même dérivé de colere, « cultiver ; habiter ».","1. 
Marque de domaine : Antiquité.
Groupe de personnes qui quittaient leur cité, leur pays pour aller s’établir dans un territoire étranger et y constituer une nouvelle communauté, y fonder une nouvelle cité ; cette communauté, cette cité elle-même.
Une colonie emportait avec elle sa langue, ses lois et ses dieux.
Des colonies de vétérans romains furent envoyées en Gaule après sa conquête par Jules César.
Carthage était une colonie phénicienne.
Les colonies grecques d’Asie Mineure.
Les colonies romaines de Cordoue, d’Arles.

2. 
Marque de domaine : histoire.
Territoire situé hors d’Europe et conquis entre le xve siècle et le début du xxe siècle par une puissance européenne, qui y installait ses ressortissants pour le contrôler militairement, en exploiter les ressources et l’administrer.
Les colonies espagnoles et portugaises d’Amérique du Sud.
Le Canada fut une des premières colonies françaises.
Les colonies britanniques, allemandes, belges d’Afrique.
Le mouvement d’indépendance des colonies, l’accession à l’indépendance des colonies.
▪ Loc.
Colonie de peuplement, où sont installés en nombre des colons.
Colonie d’exploitation, dont sont exploitées les ressources agricoles et minières.
Colonie de plantation, où se trouvaient de vastes domaines agricoles le plus souvent cultivés par des esclaves.


3. 
S’emploie parfois pour désigner les implantations israéliennes dans certains territoires conquis par Israël en 1967, lors de la guerre des Six Jours.",2026-06-04T04:14:47.735Z
C3001,C,"COLONISATEUR, COLONISATRICE",adjectif,Étymologie : xixe siècle. Dérivé de coloniser.,"Qui a colonisé un territoire.
Une nation colonisatrice.
Subst.
Les Romains ont été des colonisateurs.",2026-06-04T04:14:47.791Z
C3002,C,COLONISATION,nom féminin,"Étymologie : xviiie siècle. Emprunté de l’anglais colonization, de même sens.","1. 
Action de coloniser un territoire ; résultat de cette action.
La colonisation phénicienne.
La colonisation de l’Algérie par la France.

2. 
Par analogie.
Le fait, pour une espèce animale ou végétale, d’envahir un lieu, d’y prospérer au détriment des autres espèces présentes.
La colonisation d’un étang par des algues.",2026-06-04T04:14:47.851Z
C3003,C,"COLONISÉ, COLONISÉE",adjectif,Étymologie : xixe siècle. Tiré du participe passé de coloniser.,"Marque de domaine : histoire.
Qui vit sous un statut colonial.
L’émancipation des peuples colonisés.
Subst.
Les anciens colonisés.",2026-06-04T04:14:47.929Z
C3004,C,COLONISER,verbe transitif direct,"Étymologie : xviiie siècle. Probablement emprunté de l’anglais to colonize, de même sens, dérivé de colony, « colonie », lui-même emprunté du français colonie.","1. 
Marque de domaine : Antiquité.
S’établir dans un territoire étranger et y constituer une nouvelle communauté, y fonder une nouvelle cité.
Les Grecs ont colonisé le pourtour méditerranéen.

2. 
Marque de domaine : histoire.
Faire d’un territoire étranger une ou plusieurs colonies.
Au xvie siècle, les Espagnols et les Portugais colonisèrent l’Amérique du Sud.
Avant la Seconde Guerre mondiale, la plupart des pays d’Afrique étaient colonisés.",2026-06-04T04:14:48.088Z
C3032,C,COLTIN,nom masculin,"Étymologie : xvie siècle, colletin, au sens de « pourpoint de cuir », puis « gilet des forts des Halles ». Dérivé de collet.","Anciennement.
Chapeau en cuir et à larges bords porté par les coltineurs, relevé à l’avant et retombant à l’arrière sur la nuque, qui servait à protéger le cou et les épaules.",2026-06-04T04:14:48.668Z
C3033,C,COLTINER,verbe transitif direct et verbe pronominal,"Étymologie : xviiie siècle, au sens de « saisir par le coltin, arrêter » ; xixe siècle, au sens 1 ; xxe siècle, au sens 2. Dérivé de coltin.","1. 
V. tr. direct. Vieilli.
Porter de lourdes charges, à la manière des coltineurs, sur le dos et sur la nuque et, par extension, de toute autre manière.
Coltiner des sacs de charbon.
Coltiner des valises.

2. 
V. pron. Pop.
Assumer une corvée, une tâche difficile ; vivre une expérience pénible.
Je me suis coltiné tout le déménagement.
Elle se coltinait le travail de ses collègues.
Il a dû se coltiner tout le trajet debout.
▪ Par extension.
Il a dû se coltiner un client tout l’après-midi, il a dû le supporter.",2026-06-04T04:14:48.790Z
C3034,C,COLTINEUR,nom masculin,Étymologie : xixe siècle. Dérivé de coltiner.,"Anciennement.
Débardeur muni d’un coltin, qui transportait de lourdes charges sur le dos et la nuque.",2026-06-04T04:14:48.854Z
C3163,C,"COMMUNICANT, COMMUNICANTE",adjectif et nom,"Étymologie : xviiie siècle, au sens I ; xxe siècle, au sens II. Tiré du participe présent de communiquer.","1. 
Personne qui fait un exposé devant une société savante, une assemblée.
Les communicants d’un colloque.

2. 
Celui, celle qui exerce un métier relevant de la communication au sein d’une entreprise, d’une organisation, etc.
Les communicants d’un groupe industriel, d’un parti politique.",2026-06-04T04:14:51.598Z
C3342,C,"CON, CONNE",nom et adjectif,"Étymologie : xiie siècle. Issu du latin cunnus, « sexe de la femme ».","1. 
N. m. Vulgaire.
Organe sexuel de la femme.

2. 
N. Pop. et péj.
S’emploie pour désigner une personne imbécile, idiote ou déplaisante.
Quel con !
Quelle conne !
Il s’est conduit comme un con.
▪ 
Loc. et expr.
Faire le con, jouer au con, se montrer déraisonnable ; faire l’imbécile.
Mort aux cons ! exclamation qui s’emploie dans l’argot militaire, figurant notamment dans la devise de certains escadrons.
En entendant la formule « Mort aux cons ! », le général de Gaulle aurait dit « Vaste programme ! ».
À la con, ridicule, absurde, sans grand intérêt.
Une histoire à la con.",2026-06-04T04:14:55.099Z
C3365,C,CONCERNANT,préposition,Étymologie : xvie siècle. Tiré du participe présent de concerner.,"En ce qui concerne, au sujet de, relativement à.
Concernant ce projet, je n’ai rien à ajouter.",2026-06-04T04:14:55.673Z
C3366,C,CONCERNER,verbe transitif direct,"Étymologie : xive siècle. Emprunté du latin médiéval concernere, de même sens, issu du latin tardif concernere, « voir ; considérer l’ensemble de quelque chose », lui-même composé à l’aide de cum, « avec », et de cernere, « passer au crible ; distinguer, examiner ».","■ 
Toucher, intéresser quelqu’un ou quelque chose, se rapporter à quelqu’un ou à quelque chose.
Cela ne me concerne pas.
Cette affaire ne concerne pas mon service.
Il n’ignore rien de ce qui concerne son art.
L’Assemblée a voté une loi concernant l’héritage.
Vous êtes directement concerné par cette mesure.
Il ne se sent pas concerné, il considère que cela ne le regarde pas.
Au participe passé, adjectivement.
S’adresser aux personnes concernées.
RemarqueOn a longtemps pensé que l’emploi de concerner à la voix passive n’était pas possible, comme il ne l’est pas non plus pour certains verbes comparables ; par exemple, regarder, lorsqu’il est employé au sens de « concerner ; être d’intérêt ou d’importance pour », ne s’utilise qu’à la voix active : cette démarche vous regarde.
L’usage a de fait évolué et les emplois au passif de ce verbe se rencontrent aujourd’hui fréquemment.

▪ Loc. prép.
En ce qui concerne ou, dans la langue soutenue, pour ce qui concerne, au sujet de, pour ce qui est de.
En ce qui concerne la situation économique, je suis très inquiet.
Pour ce qui concerne la réception, le nombre d’invités est limité.
En ce qui me concerne, quant à moi, pour ma part.
En ce qui les concerne, ils sont favorables à une autre solution.",2026-06-04T04:14:55.789Z
C3556,C,CONFRONTATION,nom féminin,"Étymologie : xive siècle. Emprunté du latin médiéval confrontatio, « limite entre deux propriétés », puis « rapprochement de deux choses en vue d’une comparaison », lui-même dérivé de confrontare, « être contigu à ».","1. 
Marque de domaine : droit.
Action de confronter des personnes en vue d’établir la vérité d’un fait.
La confrontation de deux témoins.
Le juge d’instruction a procédé à une confrontation générale.
Par métonymie.
La confrontation de témoignages contradictoires.
▪ 
Par extension.
La confrontation de deux élèves soupçonnés d’avoir copié l’un sur l’autre.


2. 
Fait de rapprocher deux choses pour les comparer.
La confrontation de deux écritures.
La confrontation des différentes versions d’une œuvre littéraire.
La confrontation de programmes politiques.
RemarqueConfrontation est parfois confondu avec Affrontement, qui a le même radical.
On prendra garde de distinguer La confrontation de deux armées, l’analyse de leurs forces et de leur organisation respectives, et L’affrontement de deux armées, le fait qu’elles livrent combat.",2026-06-04T04:14:59.683Z
